market,matchup,side,player,line,expected,model_prob_over
pitcher_ks,TOR@MIN,AWAY,Trey Yesavage,4.5,1.84,0.0393
pitcher_ks,TOR@MIN,AWAY,Trey Yesavage,5.5,1.84,0.0114
pitcher_ks,TOR@MIN,AWAY,Trey Yesavage,6.5,1.84,0.0029
pitcher_ks,TOR@MIN,AWAY,Trey Yesavage,7.5,1.84,0.0006
pitcher_ks,TOR@MIN,HOME,Joe Ryan,4.5,3.01,0.1869
pitcher_ks,TOR@MIN,HOME,Joe Ryan,5.5,3.01,0.0852
pitcher_ks,TOR@MIN,HOME,Joe Ryan,6.5,3.01,0.0341
pitcher_ks,TOR@MIN,HOME,Joe Ryan,7.5,3.01,0.0122
pitcher_ks,HOU@BOS,AWAY,Cody Bolton,4.5,3.52,0.2787
pitcher_ks,HOU@BOS,AWAY,Cody Bolton,5.5,3.52,0.1453
pitcher_ks,HOU@BOS,AWAY,Cody Bolton,6.5,3.52,0.067
pitcher_ks,HOU@BOS,AWAY,Cody Bolton,7.5,3.52,0.0276
pitcher_ks,HOU@BOS,HOME,Ranger Suarez,4.5,2.68,0.1347
pitcher_ks,HOU@BOS,HOME,Ranger Suarez,5.5,2.68,0.0554
pitcher_ks,HOU@BOS,HOME,Ranger Suarez,6.5,2.68,0.02
pitcher_ks,HOU@BOS,HOME,Ranger Suarez,7.5,2.68,0.0064
pitcher_ks,CIN@PIT,AWAY,Chase Burns,4.5,3.56,0.2866
pitcher_ks,CIN@PIT,AWAY,Chase Burns,5.5,3.56,0.1509
pitcher_ks,CIN@PIT,AWAY,Chase Burns,6.5,3.56,0.0703
pitcher_ks,CIN@PIT,AWAY,Chase Burns,7.5,3.56,0.0293
pitcher_ks,CIN@PIT,HOME,Braxton Ashcraft,4.5,3.58,0.2894
pitcher_ks,CIN@PIT,HOME,Braxton Ashcraft,5.5,3.58,0.1529
pitcher_ks,CIN@PIT,HOME,Braxton Ashcraft,6.5,3.58,0.0715
pitcher_ks,CIN@PIT,HOME,Braxton Ashcraft,7.5,3.58,0.0299
pitcher_ks,BAL@NYY,HOME,Max Fried,4.5,3.03,0.1899
pitcher_ks,BAL@NYY,HOME,Max Fried,5.5,3.03,0.0871
pitcher_ks,BAL@NYY,HOME,Max Fried,6.5,3.03,0.0351
pitcher_ks,BAL@NYY,HOME,Max Fried,7.5,3.03,0.0126
pitcher_ks,MIL@WSH,AWAY,Logan Henderson,4.5,2.92,0.171
pitcher_ks,MIL@WSH,AWAY,Logan Henderson,5.5,2.92,0.0758
pitcher_ks,MIL@WSH,AWAY,Logan Henderson,6.5,2.92,0.0295
pitcher_ks,MIL@WSH,AWAY,Logan Henderson,7.5,2.92,0.0102
pitcher_ks,MIL@WSH,HOME,PJ Poulin,4.5,1.43,0.0156
pitcher_ks,MIL@WSH,HOME,PJ Poulin,5.5,1.43,0.0036
pitcher_ks,MIL@WSH,HOME,PJ Poulin,6.5,1.43,0.0007
pitcher_ks,MIL@WSH,HOME,PJ Poulin,7.5,1.43,0.0001
